Fine solution
Length:23
1 # 8 ---> 15 (0)
2 # 24 ---> 23 (0)
3 # 40 ---> 41 (0)
4 # 20 ---> 27 (0)
1 # 15 ---> 22 (1)
2 # 23 ---> 31 (1)
3 # 41 ---> 35 (1)
4 # 27 ---> 34 (1)
1 # 22 ---> 23 (2)
2 # 31 ---> 37 (2)
3 # 35 ---> 28 (2)
4 # 34 ---> 40 (2)
1 # 23 ---> 24 (3)
2 # 37 ---> 44 (3)
3 # 28 ---> 27 (3)
4 # 40 ---> 47 (3)
1 # 24 ---> 25 (4)
2 # 44 ---> 43 (4)
3 # 27 ---> 20 (4)
4 # 47 ---> 54 (4)
2 # 43 ---> 49 (5)
3 # 20 ---> 19 (5)
4 # 54 ---> 55 (5)
